Method,Scale,Soft MVCE Mean
Monte Carlo - Conditional Gaussian - 0.6 Correlation - 100 samples,0.1,0.11821149662137026
Monte Carlo - Conditional Gaussian - 0.6 Correlation - 100 samples,0.25,0.07784109190106385
Monte Carlo - Conditional Gaussian - 0.6 Correlation - 100 samples,0.5,0.0436120200902223
Monte Carlo - Conditional Gaussian - 0.6 Correlation - 100 samples,0.75,0.0242788521572947
Monte Carlo - Conditional Gaussian - 0.6 Correlation - 100 samples,1.0,0.0115441847592592
Monte Carlo - Conditional Gaussian - 0.6 Correlation - 100 samples,2.5,0.0251309564337134
Monte Carlo - Conditional Gaussian - 0.6 Correlation - 100 samples,5.0,0.04535214044153685
Monte Carlo - Conditional Gaussian - 0.6 Correlation - 100 samples,7.5,0.0547016002237796
Monte Carlo - Conditional Gaussian - 0.6 Correlation - 100 samples,10.0,0.06011231988668435
Monte Carlo - Conditional Gaussian - 0.8 Correlation - 100 samples,0.1,0.08086235821247095
Monte Carlo - Conditional Gaussian - 0.8 Correlation - 100 samples,0.25,0.039067106321454007
Monte Carlo - Conditional Gaussian - 0.8 Correlation - 100 samples,0.5,0.00905846222303805
Monte Carlo - Conditional Gaussian - 0.8 Correlation - 100 samples,0.75,0.0094869912136346
Monte Carlo - Conditional Gaussian - 0.8 Correlation - 100 samples,1.0,0.01937797712162135
Monte Carlo - Conditional Gaussian - 0.8 Correlation - 100 samples,2.5,0.045462395995855304
Monte Carlo - Conditional Gaussian - 0.8 Correlation - 100 samples,5.0,0.0603984054177999
Monte Carlo - Conditional Gaussian - 0.8 Correlation - 100 samples,7.5,0.0670393127948045
Monte Carlo - Conditional Gaussian - 0.8 Correlation - 100 samples,10.0,0.07091828808188436
Monte Carlo - Conditional Gaussian - 4.0 * Covariance - 100 samples,0.1,0.16362394392490381
Monte Carlo - Conditional Gaussian - 4.0 * Covariance - 100 samples,0.25,0.1401877924799919
Monte Carlo - Conditional Gaussian - 4.0 * Covariance - 100 samples,0.5,0.11264671385288234
Monte Carlo - Conditional Gaussian - 4.0 * Covariance - 100 samples,0.75,0.09318323433399195
Monte Carlo - Conditional Gaussian - 4.0 * Covariance - 100 samples,1.0,0.0776677578687667
Monte Carlo - Conditional Gaussian - 4.0 * Covariance - 100 samples,2.5,0.03028422314673655
Monte Carlo - Conditional Gaussian - 4.0 * Covariance - 100 samples,5.0,0.00466215820051725
Monte Carlo - Conditional Gaussian - 4.0 * Covariance - 100 samples,7.5,0.0185855072923004
Monte Carlo - Conditional Gaussian - 4.0 * Covariance - 100 samples,10.0,0.02812606189399955
Monte Carlo - Conditional Gaussian - Ground Truth - 100 samples,0.1,0.10292681306600565
Monte Carlo - Conditional Gaussian - Ground Truth - 100 samples,0.25,0.0614058412611484
Monte Carlo - Conditional Gaussian - Ground Truth - 100 samples,0.5,0.0286853769794106
Monte Carlo - Conditional Gaussian - Ground Truth - 100 samples,0.75,0.01147372275590895
Monte Carlo - Conditional Gaussian - Ground Truth - 100 samples,1.0,0.00538832496386015
Monte Carlo - Conditional Gaussian - Ground Truth - 100 samples,2.5,0.033900848589837496
Monte Carlo - Conditional Gaussian - Ground Truth - 100 samples,5.0,0.05162995308637615
Monte Carlo - Conditional Gaussian - Ground Truth - 100 samples,7.5,0.05947113968431945
Monte Carlo - Conditional Gaussian - Ground Truth - 100 samples,10.0,0.06482036039233205
